filename,file_size,num_sections,num_imported_functions,num_suspicious_imports,num_exported_functions,has_signature,avg_section_entropy,label
MacSpy,5556068,42,714,10,1,0,2.9988326642499183,1
applet,361680,16,202,6,471,1,3.1249436509270128,1
7bb9b3ea882db648578ea396a9a8cec5.bin,73360,10,61,5,22,1,2.3840275207343926,1
Installer,459248,13,133,15,69,1,3.0480476440531854,1
UnPackNw,102464,27,123,1,9,1,2.3036907378252702,1
MaMi,565673,31,379,2,293,0,2.861692577764831,1
Application Stub,69308,31,113,3,6,0,2.2675488818010057,1
Pintsized,695044,15,353,11,767,0,2.998111176797944,1
Dockster,241621,14,113,8,0,0,3.428834534062006,1
HandBrakeKit,29402692,33,557,6,14986,0,3.017267660408502,1
HandBrakeKit,29402692,33,557,6,14986,0,3.017267660408502,1
Sparkle,373484,30,281,4,15,0,2.606326972179458,1
Sparkle,373484,30,281,4,15,0,2.606326972179458,1
Autoupdate,166964,32,182,1,6,0,2.3792340394069504,1
Growl,1093888,32,328,22,274,1,2.705990908524844,1
Growl,1093888,32,328,22,274,1,2.705990908524844,1
HandBrake,753024,33,694,4,102,0,2.8051465610995456,1
activity_agent,468572,33,260,6,1,0,2.769990409561866,1
Symantec Malware Detector,384272,32,310,10,1,1,2.6561761087954934,1
Elmedia Player,44592,25,79,1,1,1,2.2564713827664833,1
Updater,724696,34,336,14,1,0,2.9129975549750498,1
mac.installer,1116096,33,420,5,574,1,2.599886437083812,1
Ventir,352160,12,23,2,17,0,2.5521562124421404,1
UpdateAgent,43139,15,47,1,1,1,2.9394421248766567,1
libffmpeg.dylib,4979136,19,134,2,1589,1,3.0503911463676947,1
MacRansom,18492,8,40,3,1,0,3.144322063226962,1
libswiftDispatch.dylib,302672,33,227,2,660,1,2.7881577334977226,1
libswiftFoundation.dylib,2844560,37,815,5,3679,1,2.8929593059563965,1
libswiftXPC.dylib,36336,13,31,4,28,1,1.5493369122945306,1
libswiftMetal.dylib,69152,22,41,1,31,1,2.173046824415276,1
libswiftAppKit.dylib,167216,32,177,2,183,1,2.498927295890252,1
libswiftDarwin.dylib,89872,23,149,1,307,1,2.4654745551984685,1
libswiftos.dylib,49840,20,62,1,34,1,2.2712512733005887,1
libswiftObjectiveC.dylib,61312,28,73,1,56,1,2.312756908124196,1
libswiftCoreImage.dylib,40720,6,10,1,1,1,1.1758842567849452,1
libswiftIOKit.dylib,36432,7,5,1,53,1,1.8320328267484922,1
libswiftCoreData.dylib,96192,25,70,1,220,1,2.254766560868707,1
libswiftCoreFoundation.dylib,32272,15,9,1,4,1,2.0998705398497375,1
libswiftCore.dylib,6152160,45,235,1,10750,1,2.7349522612727792,1
libswiftQuartzCore.dylib,52752,23,26,1,7,1,2.1595324945628556,1
libswiftCoreGraphics.dylib,188544,22,229,1,423,1,2.7749635256351093,1
CoinTicker,488672,33,359,1,1,1,2.8862082534863736,1
CallMe,104140,13,57,3,0,0,2.3024761886887823,1
