"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc7:213:782a::a3","fe80::20c:29ff:fe2c:8247","ICMPv6","78","Neighbor Advertisement 2a0d:6fc7:213:782a::a3 (rtr, sol)"
"2","0.000097799","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","fe80::18b5:cff:feee:8145","ICMPv6","78","Neighbor Advertisement 2a0d:6fc7:213:782a:39d4:d935:834:ddaa (sol)"
"3","0.173667277","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:806::200e","TCP","1374","38082  >  443 [ACK] Seq=1 Ack=1 Win=3576 Len=1288 TSval=1036660598 TSecr=598789142 [TCP PDU reassembled in 6]"
"4","0.173685777","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:806::200e","TCP","1374","38082  >  443 [PSH, ACK] Seq=1289 Ack=1 Win=3576 Len=1288 TSval=1036660598 TSecr=598789142 [TCP PDU reassembled in 6]"
"5","0.426645453","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:806::200e","TCP","1374","38082  >  443 [ACK] Seq=2577 Ack=1 Win=3576 Len=1288 TSval=1036660598 TSecr=598789142 [TCP PDU reassembled in 6]"
"6","0.426665953","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:806::200e","TLSv1.2","913","Application Data"
"7","0.429702808","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:806::200e","TCP","1374","38082  >  443 [ACK] Seq=4692 Ack=1 Win=3576 Len=1288 TSval=1036660854 TSecr=598789142 [TCP PDU reassembled in 9]"
"8","0.429718807","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:806::200e","TCP","1374","38082  >  443 [PSH, ACK] Seq=5980 Ack=1 Win=3576 Len=1288 TSval=1036660854 TSecr=598789142 [TCP PDU reassembled in 9]"
"9","0.429920104","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:806::200e","TLSv1.2","879","Application Data"
"10","0.434804430","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:804::2016","TLSv1.2","255","Application Data"
"11","0.513687438","2a00:1450:4028:806::200e","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  38082 [ACK] Seq=1 Ack=2577 Win=733 Len=0 TSval=598790927 TSecr=1036660598"
"12","0.513696538","2a00:1450:4028:806::200e","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","98","[TCP Dup ACK 11#1] 443  >  38082 [ACK] Seq=1 Ack=2577 Win=733 Len=0 TSval=598790927 TSecr=1036660598 SLE=3865 SRE=4692"
"13","0.513704438","2a00:1450:4028:806::200e","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  38082 [ACK] Seq=1 Ack=4692 Win=725 Len=0 TSval=598790927 TSecr=1036660598"
"14","0.513711738","2a00:1450:4028:806::200e","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  38082 [ACK] Seq=1 Ack=8061 Win=712 Len=0 TSval=598790927 TSecr=1036660854"
"15","0.513720138","2a00:1450:4028:804::2016","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  44958 [ACK] Seq=1 Ack=170 Win=1045 Len=0 TSval=3733132363 TSecr=2802020554"
"16","0.513728138","2a00:1450:4028:804::2016","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","190","Application Data"
"17","0.513736038","2a00:1450:4028:804::2016","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","1294","Application Data"
"18","0.513743837","2a00:1450:4028:804::2016","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","1294","Application Data"
"19","0.513953234","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:804::2016","TCP","86","44958  >  443 [ACK] Seq=170 Ack=1313 Win=1886 Len=0 TSval=2802020633 TSecr=3733132364"
"20","0.514320529","2a00:1450:4028:804::2016","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2373","Application Data, Application Data"
"21","0.514348829","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:804::2016","TCP","86","44958  >  443 [ACK] Seq=170 Ack=4808 Win=1903 Len=0 TSval=2802020633 TSecr=3733132366"
"22","0.821190991","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2a00:1450:4028:80a::2006","TCP","86","45704  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=1712542679 TSecr=1261072371"
"23","0.821627784","2a00:1450:4028:806::200e","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","156","Application Data"
"24","0.821635284","2a00:1450:4028:804::2016","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","125","Application Data"
"25","0.821642584","2a00:1450:4028:806::200e","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","117","Application Data"
