"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:7c5::","TCP","86","33260  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=326170406 TSecr=1685327060"
"2","0.000152396","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:7c5::","TCP","86","33260  >  443 [ACK] Seq=1 Ack=3625 Win=249 Len=0 TSval=326170406 TSecr=1685327065"
"3","0.000215495","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:7c5::","TCP","86","33260  >  443 [ACK] Seq=1 Ack=6041 Win=249 Len=0 TSval=326170406 TSecr=1685327079"
"4","0.001240171","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:7c5::","TLSv1.2","121","Application Data"
"5","0.001450666","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:7c5::","TLSv1.2","125","Application Data"
"6","0.049335555","2600:1901:1:7c5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  33260 [ACK] Seq=7203 Ack=36 Win=1018 Len=0 TSval=1685327198 TSecr=326170407"
"7","0.049354954","2600:1901:1:7c5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  33260 [ACK] Seq=7203 Ack=75 Win=1018 Len=0 TSval=1685327198 TSecr=326170408"
"8","0.869295820","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TLSv1.2","170","Application Data"
"9","0.869889706","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TCP","1374","49120  >  443 [ACK] Seq=85 Ack=1 Win=249 Len=1288 TSval=1723592285 TSecr=3919664993 [TCP PDU reassembled in 14]"
"10","0.869905406","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TCP","1374","49120  >  443 [PSH, ACK] Seq=1373 Ack=1 Win=249 Len=1288 TSval=1723592285 TSecr=3919664993 [TCP PDU reassembled in 14]"
"11","0.870124001","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TCP","1374","49120  >  443 [ACK] Seq=2661 Ack=1 Win=249 Len=1288 TSval=1723592285 TSecr=3919664993 [TCP PDU reassembled in 14]"
"12","0.870135901","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TCP","1374","49120  >  443 [PSH, ACK] Seq=3949 Ack=1 Win=249 Len=1288 TSval=1723592285 TSecr=3919664993 [TCP PDU reassembled in 14]"
"13","0.870412294","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TCP","1374","49120  >  443 [ACK] Seq=5237 Ack=1 Win=249 Len=1288 TSval=1723592285 TSecr=3919664993 [TCP PDU reassembled in 14]"
"14","0.870423994","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TLSv1.2","985","Application Data"
"15","0.899377629","2407:30c0:182::aa72:344a","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  35650 [ACK] Seq=1 Ack=1 Win=12 Len=0 TSval=1516183110 TSecr=2966660739"
"16","0.899438128","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2407:30c0:182::aa72:344a","TCP","86","[TCP ACKed unseen segment] 35650  >  443 [ACK] Seq=1 Ack=2 Win=249 Len=0 TSval=2966676185 TSecr=1516166843"
"17","1.209110949","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TCP","985","[TCP Retransmission] 49120  >  443 [PSH, ACK] Seq=6525 Ack=1 Win=249 Len=899 TSval=1723592624 TSecr=3919664993 [TCP PDU reassembled in 14]"
"18","1.224243105","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  49120 [ACK] Seq=1 Ack=85 Win=881 Len=0 TSval=3919670067 TSecr=1723592284"
"19","1.224250905","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  49120 [ACK] Seq=1 Ack=2661 Win=871 Len=0 TSval=3919670073 TSecr=1723592285"
"20","1.224258905","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  49120 [ACK] Seq=1 Ack=5237 Win=861 Len=0 TSval=3919670081 TSecr=1723592285"
"21","1.224266104","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","98","[TCP Dup ACK 20#1] 443  >  49120 [ACK] Seq=1 Ack=5237 Win=861 Len=0 TSval=3919670081 TSecr=1723592285 SLE=6525 SRE=7424"
"22","1.224273604","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  49120 [ACK] Seq=1 Ack=7424 Win=853 Len=0 TSval=3919670081 TSecr=1723592285"
"23","1.224281104","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","154","Application Data"
"24","1.224288604","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","274","Application Data"
"25","1.224296104","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","125","Application Data"
"26","1.230678959","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TCP","86","49120  >  443 [ACK] Seq=7424 Ack=296 Win=249 Len=0 TSval=1723592646 TSecr=3919670152"
"27","1.259221010","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TLSv1.2","121","Application Data"
"28","1.259474505","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:1901:1:5a5::","TLSv1.2","125","Application Data"
"29","1.262924426","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","98","[TCP Dup ACK 22#1] 443  >  49120 [ACK] Seq=296 Ack=7424 Win=853 Len=0 TSval=3919670403 TSecr=1723592624 SLE=6525 SRE=7424"
"30","1.297524941","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  49120 [ACK] Seq=296 Ack=7459 Win=853 Len=0 TSval=3919670436 TSecr=1723592674"
"31","1.605842436","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:9000:2600:8600:5:c033:1800:93a1","TCP","86","47312  >  443 [ACK] Seq=1 Ack=1 Win=5545 Len=0 TSval=3233563459 TSecr=862679731"
"32","1.606633019","2600:1901:1:5a5::","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","443  >  49120 [ACK] Seq=296 Ack=7498 Win=853 Len=0 TSval=3919670453 TSecr=1723592675"
"33","1.695935290","2600:9000:2600:8600:5:c033:1800:93a1","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TCP","86","[TCP ACKed unseen segment] 443  >  47312 [ACK] Seq=1 Ack=2 Win=220 Len=0 TSval=862725044 TSecr=3233518248"
"34","1.756747109","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","2600:9000:2600:8600:5:c033:1800:93a1","TCP","86","47296  >  443 [ACK] Seq=1 Ack=1 Win=3015 Len=0 TSval=3233563610 TSecr=1080292949"
