"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","2407:30c0:100:721:a380:8d6a:6b10:9d9b","TCP","86","52312  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=2447732805 TSecr=3063459390"
"2","0.173102308","2407:30c0:100:721:a380:8d6a:6b10:9d9b","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","TCP","86","[TCP ACKed unseen segment] 443  >  52312 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=3063469649 TSecr=2447712573"
"3","0.688489383","2407:30c0:180::1","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","UDP","553","443  >  36993 Len=491"
"4","0.688489693","2407:30c0:180::1","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","UDP","97","443  >  36993 Len=35"
"5","0.688489721","2407:30c0:181::1","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","UDP","553","443  >  47613 Len=491"
"6","0.688489740","2407:30c0:181::1","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","UDP","97","443  >  47613 Len=35"
"7","0.688515475","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","2407:30c0:180::1","ICMPv6","601","Destination Unreachable (Port unreachable)"
"8","0.688590601","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","2407:30c0:180::1","ICMPv6","145","Destination Unreachable (Port unreachable)"
"9","0.688617758","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","2407:30c0:181::1","ICMPv6","601","Destination Unreachable (Port unreachable)"
"10","0.688640261","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","2407:30c0:181::1","ICMPv6","145","Destination Unreachable (Port unreachable)"
"11","0.722468671","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","2a02:6ea0:e700::7","TLSv1.2","125","Application Data"
"12","0.859549111","2a02:6ea0:e700::7","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","TLSv1.2","125","Application Data"
"13","0.912137750","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","2a02:6ea0:e700::7","TCP","86","57298  >  443 [ACK] Seq=40 Ack=40 Win=688 Len=0 TSval=3257653137 TSecr=524969294"
"14","2.819996373","2a0d:6fc7:505:6e3:2f1f:5c99:6afa:38e4","2600:9000:2600:400:5:c033:1800:93a1","TCP","86","53542  >  443 [ACK] Seq=1 Ack=1 Win=1846 Len=0 TSval=2800822249 TSecr=1153442668"
