"No.","Time","Source","Destination","Protocol","Length","Info"
"80","1.253632695","192.168.26.128","192.168.26.2","DNS","79","Standard query 0xb05f HTTPS ynet-pic1.yit.co.il"
"81","1.253841978","192.168.26.128","192.168.26.2","DNS","79","Standard query 0x7744 A ynet-pic1.yit.co.il"
"82","1.254006541","192.168.26.128","192.168.26.2","DNS","79","Standard query 0xdf6a AAAA ynet-pic1.yit.co.il"
"84","1.255250624","192.168.26.128","192.168.26.2","DNS","82","Standard query 0xa81c HTTPS totalmedia2.ynet.co.il"
"87","1.255568647","192.168.26.128","192.168.26.2","DNS","82","Standard query 0xb4c9 A totalmedia2.ynet.co.il"
"88","1.255641085","192.168.26.128","192.168.26.2","DNS","82","Standard query 0x638f AAAA totalmedia2.ynet.co.il"
"97","1.256679515","192.168.26.128","192.168.26.2","DNS","78","Standard query 0x6114 A images1.ynet.co.il"
"98","1.256767071","192.168.26.128","192.168.26.2","DNS","78","Standard query 0x9b10 AAAA images1.ynet.co.il"
"99","1.257241998","192.168.26.128","192.168.26.2","DNS","78","Standard query 0xcba7 HTTPS images1.ynet.co.il"
"109","1.259281854","192.168.26.2","192.168.26.128","DNS","201","Standard query response 0xb05f HTTPS ynet-pic1.yit.co.il CNAME ynet-pic1.yit.co.il.cdn.cloudflare.net HTTPS"
"110","1.259281972","192.168.26.2","192.168.26.128","DNS","163","Standard query response 0x7744 A ynet-pic1.yit.co.il CNAME ynet-pic1.yit.co.il.cdn.cloudflare.net A 104.18.7.158 A 104.18.6.158"
"111","1.259282004","192.168.26.2","192.168.26.128","DNS","187","Standard query response 0xdf6a AAAA ynet-pic1.yit.co.il CNAME ynet-pic1.yit.co.il.cdn.cloudflare.net AAAA 2606:4700::6812:69e AAAA 2606:4700::6812:79e"
"116","1.260842932","192.168.26.2","192.168.26.128","DNS","245","Standard query response 0xa81c HTTPS totalmedia2.ynet.co.il CNAME totalmedia2.ynet.co.il-v1.edgekey.net CNAME e12476.b.akamaiedge.net SOA n0b.akamaiedge.net"
"127","1.262602354","192.168.26.2","192.168.26.128","DNS","186","Standard query response 0xb4c9 A totalmedia2.ynet.co.il CNAME totalmedia2.ynet.co.il-v1.edgekey.net CNAME e12476.b.akamaiedge.net A 212.55.190.45"
"128","1.262602383","192.168.26.2","192.168.26.128","DNS","245","Standard query response 0x638f AAAA totalmedia2.ynet.co.il CNAME totalmedia2.ynet.co.il-v1.edgekey.net CNAME e12476.b.akamaiedge.net SOA n0b.akamaiedge.net"
"134","1.264161862","192.168.26.2","192.168.26.128","DNS","175","Standard query response 0x6114 A images1.ynet.co.il CNAME images1.ynet.co.il.edgekey.net CNAME e12476.b.akamaiedge.net A 212.55.190.45"
