"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","96","Standard query 0xec7b AAAA open.spotify.com"
"2","0.000493170","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","96","Standard query 0xda15 A open.spotify.com"
"3","0.000771354","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","96","Standard query 0x35d6 HTTPS open.spotify.com"
"4","0.056672913","2a0d:6fc7:213:782a::48","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","DNS","164","Standard query response 0xec7b AAAA open.spotify.com CNAME atc.spotify.map.fastly.net AAAA 2a04:4e42:8e::810"
"5","0.056830403","2a0d:6fc7:213:782a::48","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","DNS","152","Standard query response 0xda15 A open.spotify.com CNAME atc.spotify.map.fastly.net A 146.75.123.42"
"6","0.062778148","2a0d:6fc7:213:782a::48","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","DNS","207","Standard query response 0x35d6 HTTPS open.spotify.com CNAME atc.spotify.map.fastly.net SOA ns1.fastly.net"
"7","0.778017475","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","101","Standard query 0x6b30 AAAA apresolve.spotify.com"
"8","0.778381754","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","101","Standard query 0xcaff A apresolve.spotify.com"
"9","0.778638038","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","101","Standard query 0x4f23 HTTPS apresolve.spotify.com"
"10","0.802230833","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","103","Standard query 0x5995 AAAA clienttoken.spotify.com"
"11","0.802564014","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","103","Standard query 0x08f5 A clienttoken.spotify.com"
"12","0.802776301","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","103","Standard query 0xa8a1 HTTPS clienttoken.spotify.com"
"13","0.803162778","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","103","Standard query 0x2328 AAAA api-partner.spotify.com"
"14","0.803365466","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","103","Standard query 0xe7d2 A api-partner.spotify.com"
"15","0.803555255","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","103","Standard query 0xc019 HTTPS api-partner.spotify.com"
"16","0.818813946","2a0d:6fc7:213:782a::48","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","DNS","129","Standard query response 0x6b30 AAAA apresolve.spotify.com AAAA 2600:1901:1:7c5::"
"17","0.818821046","2a0d:6fc7:213:782a::48","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","DNS","117","Standard query response 0xcaff A apresolve.spotify.com A 35.186.224.24"
"18","0.822047853","2a0d:6fc7:213:782a::48","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","DNS","197","Standard query response 0x4f23 HTTPS apresolve.spotify.com SOA ns-cloud-a1.googledomains.com"
"19","0.833188791","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","105","Standard query 0x9b9b AAAA gew4-spclient.spotify.com"
"20","0.833636264","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","105","Standard query 0x9fa1 A gew4-spclient.spotify.com"
"21","0.833911148","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","2a0d:6fc7:213:782a::48","DNS","105","Standard query 0x16ca HTTPS gew4-spclient.spotify.com"
"22","0.835805035","2a0d:6fc7:213:782a::48","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","DNS","175","Standard query response 0x5995 AAAA clienttoken.spotify.com CNAME edge-web.dual-gslb.spotify.com AAAA 2600:1901:1:7c5::"
"23","0.835811434","2a0d:6fc7:213:782a::48","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","DNS","163","Standard query response 0x08f5 A clienttoken.spotify.com CNAME edge-web.dual-gslb.spotify.com A 35.186.224.24"
"24","0.844329727","2a0d:6fc7:213:782a::48","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","DNS","243","Standard query response 0xa8a1 HTTPS clienttoken.spotify.com CNAME edge-web.dual-gslb.spotify.com SOA ns-cloud-d1.googledomains.com"
"25","0.845539555","2a0d:6fc7:213:782a::48","2a0d:6fc7:213:782a:73b0:4ce2:4b7c:7141","DNS","212","Standard query response 0x2328 AAAA api-partner.spotify.com CNAME partners.wg.spotify.com CNAME edge-web.dual-gslb.spotify.com AAAA 2600:1901:1:7c5::"
