"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:287::30bc","TCP","86","34108  >  443 [FIN, ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=310091321 TSecr=3785802616"
"2","0.001181709","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:287::30bc","TCP","94","34118  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=310091323 TSecr=0 WS=128"
"3","0.040378672","192.168.56.42","142.250.75.46","TLSv1.2","128","Application Data"
"4","0.040949262","192.168.56.42","142.250.75.46","TLSv1.2","209","Application Data, Application Data"
"5","0.118522111","2001:40a8:4400:287::30bc","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  34108 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=3785814403 TSecr=310091321"
"6","0.129752327","2001:40a8:4400:287::30bc","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","94","443  >  34118 [SYN, ACK] Seq=0 Ack=1 Win=64260 Len=0 MSS=1300 SACK_PERM TSval=1735644493 TSecr=310091323 WS=128"
"7","0.129752930","142.250.75.46","192.168.56.42","TCP","66","443  >  59480 [ACK] Seq=1 Ack=63 Win=1043 Len=0 TSval=2930283586 TSecr=2296144613"
"8","0.129895946","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:287::30bc","TCP","86","34118  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=310091451 TSecr=1735644493"
"9","0.129753015","142.250.75.46","192.168.56.42","TCP","66","443  >  59480 [ACK] Seq=1 Ack=206 Win=1043 Len=0 TSval=2930283586 TSecr=2296144613"
"10","0.129753092","142.250.75.46","192.168.56.42","TLSv1.2","105","Application Data"
"11","0.132909883","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:287::30bc","TCP","1374","34118  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=1288 TSval=310091454 TSecr=1735644493 [TCP segment of a reassembled PDU]"
"12","0.132926697","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:287::30bc","TLSv1.3","857","Client Hello (SNI=www.ynet.co.il)"
"13","0.174262258","192.168.56.42","142.250.75.46","TCP","66","59480  >  443 [ACK] Seq=206 Ack=40 Win=249 Len=0 TSval=2296144747 TSecr=2930283587"
"14","0.184621939","2001:40a8:4400:287::30bc","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  34118 [ACK] Seq=1 Ack=2060 Win=63360 Len=0 TSval=1735644552 TSecr=310091454"
"15","0.184622801","2001:40a8:4400:287::30bc","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.3","350","Server Hello, Change Cipher Spec, Encrypted Extensions, Finished"
"16","0.184727921","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:287::30bc","TCP","86","34118  >  443 [ACK] Seq=2060 Ack=265 Win=32896 Len=0 TSval=310091506 TSecr=1735644552"
"17","0.185590133","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:287::30bc","TLSv1.3","166","Change Cipher Spec, Finished"
"18","0.192864432","142.250.75.46","192.168.56.42","TLSv1.2","160","Application Data"
"19","0.192865066","142.250.75.46","192.168.56.42","TLSv1.2","312","Application Data"
"20","0.192865134","142.250.75.46","192.168.56.42","TLSv1.2","97","Application Data"
"21","0.192865207","142.250.75.46","192.168.56.42","TLSv1.2","105","Application Data"
"22","0.192983372","192.168.56.42","142.250.75.46","TCP","66","59480  >  443 [ACK] Seq=206 Ack=134 Win=249 Len=0 TSval=2296144765 TSecr=2930283652"
"23","0.193265740","192.168.56.42","142.250.75.46","TCP","66","59480  >  443 [ACK] Seq=206 Ack=450 Win=249 Len=0 TSval=2296144766 TSecr=2930283652"
"24","0.196398790","192.168.56.42","142.250.75.46","TLSv1.2","101","Application Data"
"25","0.196720248","192.168.56.42","142.250.75.46","TLSv1.2","105","Application Data"
"26","0.226216777","2001:40a8:4400:287::30bc","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  34118 [ACK] Seq=265 Ack=2140 Win=64128 Len=0 TSval=1735644593 TSecr=310091507"
