"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.56.210","192.168.56.255","UDP","86","57621  >  57621 Len=44"
"2","0.600240139","192.168.56.210","3.230.70.25","TCP","1514","59957  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1460 [TCP segment of a reassembled PDU]"
"3","0.600240833","192.168.56.210","3.230.70.25","TLSv1.2","524","Client Hello (SNI=auth.grammarly.com)"
"4","0.799093098","192.168.56.210","3.230.70.25","TCP","1514","[TCP Previous segment not captured] 59957  >  443 [ACK] Seq=2156 Ack=4269 Win=255 Len=1460 [TCP segment of a reassembled PDU]"
"5","0.799093334","192.168.56.210","3.230.70.25","TLSv1.2","513","Application Data"
"6","1.237788263","192.168.56.210","34.193.180.58","TCP","1514","59958  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1460 [TCP segment of a reassembled PDU]"
"7","1.237788486","192.168.56.210","34.193.180.58","TLSv1.2","529","Client Hello (SNI=treatment.grammarly.com)"
"8","1.286203848","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TCP","86","39728  >  443 [FIN, ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=482553216 TSecr=2187432520"
"9","1.286471676","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:3::5266:982a","TLSv1.2","857","Application Data"
"10","1.314545128","2a00:1450:4028:80a::2004","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  39728 [ACK] Seq=1 Ack=2 Win=1047 Len=0 TSval=2187444499 TSecr=482553216"
"11","1.322744436","2001:40a8:4400:3::5266:982a","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.2","667","Application Data"
"12","1.322790497","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:3::5266:982a","TCP","86","47056  >  443 [ACK] Seq=772 Ack=582 Win=6942 Len=0 TSval=1343687260 TSecr=3079458841"
"13","1.390285571","2001:40a8:4400:3::5266:982a","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","6466","443  >  47056 [PSH, ACK] Seq=582 Ack=772 Win=501 Len=6380 TSval=3079458847 TSecr=1343687224 [TCP segment of a reassembled PDU]"
"14","1.390285784","2001:40a8:4400:3::5266:982a","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","6466","443  >  47056 [PSH, ACK] Seq=6962 Ack=772 Win=501 Len=6380 TSval=3079458847 TSecr=1343687224 [TCP segment of a reassembled PDU]"
"15","1.390310570","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:3::5266:982a","TCP","86","47056  >  443 [ACK] Seq=772 Ack=6962 Win=6905 Len=0 TSval=1343687328 TSecr=3079458847"
"16","1.390408924","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:3::5266:982a","TCP","86","47056  >  443 [ACK] Seq=772 Ack=13342 Win=6858 Len=0 TSval=1343687328 TSecr=3079458847"
"17","1.390457069","2001:40a8:4400:3::5266:982a","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.2","6466","Application Data"
"18","1.390457100","2001:40a8:4400:3::5266:982a","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","6466","443  >  47056 [PSH, ACK] Seq=19722 Ack=772 Win=501 Len=6380 TSval=3079458849 TSecr=1343687224 [TCP segment of a reassembled PDU]"
"19","1.390461438","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:3::5266:982a","TCP","86","47056  >  443 [ACK] Seq=772 Ack=19722 Win=6812 Len=0 TSval=1343687328 TSecr=3079458848"
"20","1.390479325","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2001:40a8:4400:3::5266:982a","TCP","86","47056  >  443 [ACK] Seq=772 Ack=26102 Win=6764 Len=0 TSval=1343687328 TSecr=3079458849"
