"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.183.42","34.117.188.166","TCP","74","49690  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=1324513723 TSecr=0 WS=128"
"2","0.050922248","34.117.188.166","192.168.183.42","TCP","74","443  >  49690 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM TSval=3230489447 TSecr=1324513723 WS=256"
"3","0.050981748","192.168.183.42","34.117.188.166","TCP","66","49690  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=1324513774 TSecr=3230489447"
"4","0.064603815","192.168.183.42","34.117.188.166","TLSv1.3","583","Client Hello (SNI=contile.services.mozilla.com)"
"5","0.099706586","34.117.188.166","192.168.183.42","TCP","66","443  >  49690 [ACK] Seq=1 Ack=518 Win=268288 Len=0 TSval=3230489492 TSecr=1324513787"
"6","0.113700054","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:0:92a9::","TCP","94","47944  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=3547492223 TSecr=0 WS=128"
"7","0.153835650","2600:1901:0:92a9::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","94","443  >  47944 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=3123002225 TSecr=3547492223 WS=256"
"8","0.153915851","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:0:92a9::","TCP","86","47944  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=3547492264 TSecr=3123002225"
"9","0.154307452","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:0:92a9::","TLSv1.2","302","Client Hello (SNI=content-signature-2.cdn.mozilla.net)"
"10","0.160105880","34.117.188.166","192.168.183.42","TLSv1.3","2114","Server Hello, Change Cipher Spec"
"11","0.160112081","34.117.188.166","192.168.183.42","TLSv1.3","1087","Application Data"
"12","0.160156881","192.168.183.42","34.117.188.166","TCP","66","49690  >  443 [ACK] Seq=518 Ack=2049 Win=31872 Len=0 TSval=1324513883 TSecr=3230489552"
"13","0.160276782","192.168.183.42","34.117.188.166","TCP","66","49690  >  443 [ACK] Seq=518 Ack=3070 Win=31872 Len=0 TSval=1324513883 TSecr=3230489552"
"14","0.191838835","2600:1901:0:92a9::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  47944 [ACK] Seq=1 Ack=217 Win=269824 Len=0 TSval=3123002264 TSecr=3547492264"
"15","0.196777759","2600:1901:0:92a9::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","2134","Server Hello"
"16","0.196839460","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:0:92a9::","TCP","86","47944  >  443 [ACK] Seq=217 Ack=2049 Win=31872 Len=0 TSval=3547492306 TSecr=3123002267"
"17","0.197218061","2600:1901:0:92a9::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","1043","Certificate, Server Key Exchange, Server Hello Done"
