"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:800::2003","TCP","94","40360  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=2304103280 TSecr=0 WS=128"
"2","0.030041491","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:800::2003","TCP","94","40376  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=2304103310 TSecr=0 WS=128"
"3","0.046232087","2a00:1450:4028:800::2003","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","94","443  >  40360 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=1748405588 TSecr=2304103280 WS=256"
"4","0.046270287","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:800::2003","TCP","74","40360  >  443 [RST] Seq=1 Win=0 Len=0"
"5","0.075652479","2a00:1450:4028:800::2003","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","94","443  >  40376 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=1750267703 TSecr=2304103310 WS=256"
"6","0.075726679","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:800::2003","TCP","86","40376  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=2304103356 TSecr=1750267703"
"7","0.078653078","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:800::2003","TCP","1374","40376  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=1288 TSval=2304103359 TSecr=1750267703 [TCP PDU reassembled in 8]"
"8","0.078666278","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:800::2003","TLSv1.3","633","Client Hello (SNI=clientservices.googleapis.com)"
"9","0.124246265","2a00:1450:4028:800::2003","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","98","[TCP Dup ACK 5#1] 443  >  40376 [ACK] Seq=1 Ack=1 Win=270080 Len=0 TSval=1750267752 TSecr=2304103356 SLE=1289 SRE=1836"
"10","0.124252065","2a00:1450:4028:800::2003","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  40376 [ACK] Seq=1 Ack=1836 Win=268288 Len=0 TSval=1750267752 TSecr=2304103359"
"11","0.180679450","2a00:1450:4028:800::2003","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"12","0.180685650","2a00:1450:4028:800::2003","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","2502","443  >  40376 [PSH, ACK] Seq=2417 Ack=1836 Win=268288 Len=2416 TSval=1750267805 TSecr=2304103359 [TCP PDU reassembled in 13]"
"13","0.180691450","2a00:1450:4028:800::2003","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.3","1013","Application Data"
"14","0.180741950","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:800::2003","TCP","86","40376  >  443 [ACK] Seq=1836 Ack=2417 Win=31872 Len=0 TSval=2304103461 TSecr=1750267805"
"15","0.180842750","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:800::2003","TCP","86","40376  >  443 [ACK] Seq=1836 Ack=4833 Win=31872 Len=0 TSval=2304103461 TSecr=1750267805"
"16","0.180881150","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:800::2003","TCP","86","40376  >  443 [ACK] Seq=1836 Ack=5760 Win=31872 Len=0 TSval=2304103461 TSecr=1750267805"
