"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:80a::2003","TCP","86","60932  >  443 [FIN, ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=1616126345 TSecr=2541239893"
"2","0.000318702","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:806::2003","TCP","86","34820  >  443 [FIN, ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=1087228444 TSecr=4060519033"
"3","0.055481676","2a00:1450:4028:80a::2003","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  60932 [FIN, ACK] Seq=1 Ack=2 Win=1048 Len=0 TSval=2541265805 TSecr=1616126345"
"4","0.055489576","2a00:1450:4028:806::2003","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  34820 [FIN, ACK] Seq=1 Ack=2 Win=1049 Len=0 TSval=4060544961 TSecr=1087228444"
"5","0.055622077","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:80a::2003","TCP","86","60932  >  443 [ACK] Seq=2 Ack=2 Win=249 Len=0 TSval=1616126401 TSecr=2541265805"
"6","0.055795078","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:806::2003","TCP","86","34820  >  443 [ACK] Seq=2 Ack=2 Win=249 Len=0 TSval=1087228500 TSecr=4060544961"
"7","0.059140600","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:40a8:4421::e","TCP","94","42458  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=578073648 TSecr=0 WS=128"
"8","0.098688368","2001:40a8:4421::e","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","94","443  >  42458 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=400120101 TSecr=578073648 WS=256"
"9","0.098829169","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:40a8:4421::e","TCP","86","42458  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=578073688 TSecr=400120101"
"10","0.099903377","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:40a8:4421::e","TCP","1374","42458  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=1288 TSval=578073689 TSecr=400120101 [TCP PDU reassembled in 11]"
