"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::760","TCP","74","42734  >  443 [RST] Seq=1 Win=0 Len=0"
"2","0.000059400","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::763","TCP","74","38602  >  443 [RST] Seq=1 Win=0 Len=0"
"3","0.000130301","2a04:4e42:8e::763","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  38602 [FIN, ACK] Seq=1 Ack=1 Win=289 Len=0 TSval=1311438624 TSecr=2662078131"
"4","0.000139001","2600:1901:1:566::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  47534 [FIN, ACK] Seq=1 Ack=1 Win=1048 Len=0 TSval=365788342 TSecr=217803383"
"5","0.000153201","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::763","TCP","74","38602  >  443 [RST] Seq=1 Win=0 Len=0"
"6","0.000211701","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:566::","TCP","86","47534  >  443 [ACK] Seq=1 Ack=2 Win=249 Len=0 TSval=217803501 TSecr=365788342"
"7","0.001788211","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  40458 [ACK] Seq=1 Ack=1 Win=1044 Len=0 TSval=3849413017 TSecr=1470841186"
"8","0.007595449","2001:40a8:4400:4::d4c7:ca72","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  55106 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1503715945 TSecr=1084304700"
"9","0.007601649","2001:40a8:4400:4::d4c7:ca72","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","373","Application Data"
"10","0.029900495","2600:1901:1:5a5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","172","Application Data"
"11","0.029987695","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:5a5::","TCP","86","43072  >  443 [ACK] Seq=1 Ack=87 Win=249 Len=0 TSval=1476450022 TSecr=1272052602"
"12","0.031454505","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:5a5::","TLSv1.2","125","Application Data"
"13","0.043349983","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:194::","TLSv1.2","130","Application Data"
"14","0.052494343","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TLSv1.2","160","Application Data"
"15","0.052877345","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TLSv1.2","125","Application Data"
"16","0.055101460","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:40a8:4400:4::d4c7:ca72","TCP","86","55106  >  443 [ACK] Seq=1 Ack=288 Win=255 Len=0 TSval=1084304787 TSecr=1503715945"
"17","0.079130217","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:804::200e","TCP","86","33138  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=1304185966 TSecr=1217724019"
"18","0.079473119","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a00:1450:4028:800::200a","TCP","86","40392  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=2654656634 TSecr=3019021131"
"19","0.084544252","2600:1901:1:5a5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  43072 [ACK] Seq=87 Ack=40 Win=599 Len=0 TSval=1272052661 TSecr=1476450024"
"20","0.084552352","2600:1901:1:194::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  58332 [ACK] Seq=1 Ack=45 Win=1041 Len=0 TSval=822782475 TSecr=3104964958"
"21","0.118509974","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  40398 [ACK] Seq=1 Ack=75 Win=1046 Len=0 TSval=2245068474 TSecr=1470886758"
"22","0.118521274","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  40398 [ACK] Seq=1 Ack=114 Win=1046 Len=0 TSval=2245068474 TSecr=1470886758"
"23","0.118529374","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","125","Application Data"
"24","0.121631094","2a00:1450:4028:804::200e","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","[TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1046 Len=0 TSval=1217769201 TSecr=1304095422"
"25","0.126669727","2a00:1450:4028:800::200a","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","[TCP ACKed unseen segment] 443  >  40392 [ACK] Seq=1 Ack=2 Win=1043 Len=0 TSval=3019066317 TSecr=2654565489"
"26","0.131856161","2600:1901:1:194::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","126","Application Data"
"27","0.131862861","2600:1901:1:194::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  58332 [FIN, ACK] Seq=41 Ack=45 Win=1041 Len=0 TSval=822782528 TSecr=3104964958"
"28","0.131921661","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:194::","TCP","86","58332  >  443 [ACK] Seq=45 Ack=41 Win=249 Len=0 TSval=3104965046 TSecr=822782528"
"29","0.144980447","2a04:4e42:8e::810","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","2662","Application Data, Application Data"
"30","0.145052147","2a04:4e42:8e::810","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","1886","Application Data, Application Data"
"31","0.145058047","2a04:4e42:8e::810","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","2662","Application Data, Application Data"
"32","0.145128948","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::810","TCP","86","54754  >  443 [ACK] Seq=1 Ack=2577 Win=249 Len=0 TSval=2876165529 TSecr=2027886364"
"33","0.145323749","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::810","TCP","86","54754  >  443 [ACK] Seq=1 Ack=4377 Win=249 Len=0 TSval=2876165529 TSecr=2027886367"
"34","0.145405850","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::810","TCP","86","54754  >  443 [ACK] Seq=1 Ack=6953 Win=249 Len=0 TSval=2876165529 TSecr=2027886370"
"35","0.145528550","2a04:4e42:8e::810","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","511","Application Data"
"36","0.145549051","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::810","TCP","86","54754  >  443 [ACK] Seq=1 Ack=7378 Win=249 Len=0 TSval=2876165529 TSecr=2027886375"
"37","0.161615656","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TCP","86","40398  >  443 [ACK] Seq=114 Ack=40 Win=249 Len=0 TSval=1470886867 TSecr=2245068475"
"38","0.171387219","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:194::","TCP","86","58332  >  443 [FIN, ACK] Seq=45 Ack=42 Win=249 Len=0 TSval=3104965086 TSecr=822782528"
"39","0.183754500","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::810","TLSv1.2","121","Application Data"
"40","0.198918999","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","156","Application Data"
"41","0.198927799","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","405","Application Data"
"42","0.198935799","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","125","Application Data"
"43","0.199077200","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TCP","86","40398  >  443 [ACK] Seq=114 Ack=110 Win=249 Len=0 TSval=1470886904 TSecr=2245068530"
"44","0.199290301","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TCP","86","40398  >  443 [ACK] Seq=114 Ack=468 Win=249 Len=0 TSval=1470886905 TSecr=2245068530"
"45","0.200151907","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TLSv1.2","121","Application Data"
"46","0.200303308","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TLSv1.2","125","Application Data"
"47","0.230275404","2600:1901:1:194::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  58332 [ACK] Seq=42 Ack=46 Win=1041 Len=0 TSval=822782621 TSecr=3104965086"
"48","0.236134142","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  40398 [ACK] Seq=468 Ack=188 Win=1046 Len=0 TSval=2245068611 TSecr=1470886906"
"49","0.279732127","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:5a5::","TLSv1.2","170","Application Data"
"50","0.279956329","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:5a5::","TLSv1.2","809","Application Data"
"51","0.290480997","2a04:4e42:8e::810","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  54754 [ACK] Seq=7378 Ack=36 Win=307 Len=0 TSval=2027886521 TSecr=2876165567"
"52","0.324144917","2600:1901:1:5a5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  43072 [ACK] Seq=87 Ack=124 Win=599 Len=0 TSval=1272052904 TSecr=1476450272"
"53","0.324153217","2600:1901:1:5a5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  43072 [ACK] Seq=87 Ack=847 Win=597 Len=0 TSval=1272052904 TSecr=1476450272"
"54","0.412399193","2600:1901:1:5a5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","154","Application Data"
"55","0.412406693","2600:1901:1:5a5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","217","Application Data"
"56","0.412413593","2600:1901:1:5a5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","125","Application Data"
"57","0.414825509","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:5a5::","TCP","86","43072  >  443 [ACK] Seq=847 Ack=325 Win=249 Len=0 TSval=1476450407 TSecr=1272052984"
"58","0.419328339","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:5a5::","TLSv1.2","121","Application Data"
"59","0.419593741","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:5a5::","TLSv1.2","125","Application Data"
"60","0.447388422","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:4860:4802:38::178","TLSv1.2","832","Application Data"
"61","0.447844525","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:4860:4802:38::178","TLSv1.2","125","Application Data"
"62","0.468414460","2600:1901:1:5a5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  43072 [ACK] Seq=325 Ack=882 Win=597 Len=0 TSval=1272053052 TSecr=1476450412"
"63","0.468422960","2600:1901:1:5a5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  43072 [ACK] Seq=325 Ack=921 Win=597 Len=0 TSval=1272053052 TSecr=1476450412"
"64","0.489959901","2001:4860:4802:38::178","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  51028 [ACK] Seq=1 Ack=747 Win=1023 Len=0 TSval=3957905967 TSecr=1348502966"
"65","0.489966000","2001:4860:4802:38::178","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  51028 [ACK] Seq=1 Ack=786 Win=1023 Len=0 TSval=3957905967 TSecr=1348502966"
"66","0.489971601","2001:4860:4802:38::178","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","125","Application Data"
"67","0.531124969","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:4860:4802:38::178","TCP","86","51028  >  443 [ACK] Seq=786 Ack=40 Win=249 Len=0 TSval=1348503050 TSecr=3957905968"
"68","0.547320075","192.168.183.42","34.120.195.249","TLSv1.2","218","Application Data"
"69","0.547715077","192.168.183.42","34.120.195.249","TLSv1.2","105","Application Data"
"70","0.547866078","192.168.183.42","34.120.195.249","TLSv1.2","293","Application Data"
"71","0.549095586","2001:4860:4802:38::178","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","156","Application Data"
"72","0.549103587","2001:4860:4802:38::178","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","117","Application Data"
"73","0.549110787","2001:4860:4802:38::178","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","125","Application Data"
"74","0.549181387","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:4860:4802:38::178","TCP","86","51028  >  443 [ACK] Seq=786 Ack=110 Win=249 Len=0 TSval=1348503068 TSecr=3957906023"
"75","0.549285888","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:4860:4802:38::178","TCP","86","51028  >  443 [ACK] Seq=786 Ack=141 Win=249 Len=0 TSval=1348503068 TSecr=3957906025"
"76","0.549344089","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:4860:4802:38::178","TCP","86","51028  >  443 [ACK] Seq=786 Ack=180 Win=249 Len=0 TSval=1348503068 TSecr=3957906025"
"77","0.550249294","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2001:4860:4802:38::178","TLSv1.2","125","Application Data"
"78","0.590665258","34.120.195.249","192.168.183.42","TCP","66","443  >  49708 [ACK] Seq=1 Ack=153 Win=1040 Len=0 TSval=3175469691 TSecr=676285056"
"79","0.590673558","34.120.195.249","192.168.183.42","TCP","66","443  >  49708 [ACK] Seq=1 Ack=192 Win=1040 Len=0 TSval=3175469691 TSecr=676285056"
"80","0.590681058","34.120.195.249","192.168.183.42","TCP","66","443  >  49708 [ACK] Seq=1 Ack=419 Win=1040 Len=0 TSval=3175469691 TSecr=676285056"
"81","0.590689258","34.120.195.249","192.168.183.42","TLSv1.2","105","Application Data"
"82","0.599847318","2001:4860:4802:38::178","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  51028 [ACK] Seq=180 Ack=825 Win=1023 Len=0 TSval=3957906072 TSecr=1348503069"
"83","0.635108949","192.168.183.42","34.120.195.249","TCP","66","49708  >  443 [ACK] Seq=419 Ack=40 Win=249 Len=0 TSval=676285144 TSecr=3175469692"
"84","0.649640743","34.120.195.249","192.168.183.42","TLSv1.2","133","Application Data"
"85","0.649648143","34.120.195.249","192.168.183.42","TLSv1.2","99","Application Data"
"86","0.649655344","34.120.195.249","192.168.183.42","TLSv1.2","105","Application Data"
"87","0.649722644","192.168.183.42","34.120.195.249","TCP","66","49708  >  443 [ACK] Seq=419 Ack=107 Win=249 Len=0 TSval=676285158 TSecr=3175469748"
"88","0.649837745","192.168.183.42","34.120.195.249","TCP","66","49708  >  443 [ACK] Seq=419 Ack=140 Win=249 Len=0 TSval=676285158 TSecr=3175469748"
"89","0.649894045","192.168.183.42","34.120.195.249","TCP","66","49708  >  443 [ACK] Seq=419 Ack=179 Win=249 Len=0 TSval=676285158 TSecr=3175469748"
"90","0.652592763","192.168.183.42","34.120.195.249","TLSv1.2","105","Application Data"
"91","0.652792364","192.168.183.42","34.120.195.249","TLSv1.2","101","Application Data"
"92","0.685803380","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:4be::","TCP","94","47646  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=2986681550 TSecr=0 WS=128"
"93","0.698258361","34.120.195.249","192.168.183.42","TCP","66","443  >  49708 [ACK] Seq=179 Ack=493 Win=1040 Len=0 TSval=3175469795 TSecr=676285161"
"94","0.732631885","2600:1901:1:4be::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","94","443  >  47646 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=666793935 TSecr=2986681550 WS=256"
"95","0.732724486","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:4be::","TCP","86","47646  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=2986681597 TSecr=666793935"
"96","0.737138415","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:4be::","TCP","1374","47646  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=1288 TSval=2986681602 TSecr=666793935 [TCP PDU reassembled in 97]"
"97","0.737163915","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:4be::","TLSv1.3","825","Client Hello (SNI=gew4-spclient.spotify.com)"
"98","0.738334822","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::760","TCP","94","33240  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=3071835501 TSecr=0 WS=128"
"99","0.760012065","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TCP","94","58894  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=1470887465 TSecr=0 WS=128"
"100","0.781699606","2600:1901:1:4be::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","98","[TCP Dup ACK 94#1] 443  >  47646 [ACK] Seq=1 Ack=1 Win=270080 Len=0 TSval=666793983 TSecr=2986681597 SLE=1289 SRE=2028"
"101","0.781705906","2600:1901:1:4be::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  47646 [ACK] Seq=1 Ack=2028 Win=268288 Len=0 TSval=666793983 TSecr=2986681602"
"102","0.789504657","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:566::","TCP","94","44162  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=217804290 TSecr=0 WS=128"
"103","0.792820079","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","94","443  >  58894 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=3994262119 TSecr=1470887465 WS=256"
"104","0.792909380","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TCP","86","58894  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=1470887498 TSecr=3994262119"
"105","0.793404083","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TCP","1374","58894  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=1288 TSval=1470887499 TSecr=3994262119 [TCP PDU reassembled in 106]"
"106","0.793415282","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TLSv1.3","849","Client Hello (SNI=pixel.spotify.com)"
"107","0.826946901","2600:1901:1:566::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","94","443  >  44162 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=755892253 TSecr=217804290 WS=256"
"108","0.827050302","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:566::","TCP","86","44162  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=217804327 TSecr=755892253"
"109","0.828370210","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:566::","TCP","1374","44162  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=1288 TSval=217804329 TSecr=755892253 [TCP PDU reassembled in 110]"
"110","0.828383911","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:566::","TLSv1.3","627","Client Hello (SNI=gew4-dealer.spotify.com)"
"111","0.835664359","2600:1901:1:4be::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.3","298","Server Hello, Change Cipher Spec, Application Data"
"112","0.835676059","2a04:4e42:8e::760","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","94","443  >  33240 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=2865007841 TSecr=3071835501 WS=512"
"113","0.835749159","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:4be::","TCP","86","47646  >  443 [ACK] Seq=2028 Ack=213 Win=33024 Len=0 TSval=2986681700 TSecr=666794038"
"114","0.835859560","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::760","TCP","86","33240  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=3071835598 TSecr=2865007841"
"115","0.836162362","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:4be::","TLSv1.3","150","Change Cipher Spec, Application Data"
"116","0.837369469","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::760","TCP","1374","33240  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=1288 TSval=3071835600 TSecr=2865007841 [TCP PDU reassembled in 117]"
"117","0.837378870","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::760","TLSv1.3","741","Client Hello (SNI=pl.scdn.co)"
"118","0.838463777","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TCP","94","58908  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=1470887544 TSecr=0 WS=128"
"119","0.839628685","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","98","[TCP Dup ACK 103#1] 443  >  58894 [ACK] Seq=1 Ack=1 Win=270080 Len=0 TSval=3994262166 TSecr=1470887498 SLE=1289 SRE=2052"
"120","0.839635685","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  58894 [ACK] Seq=1 Ack=2052 Win=268032 Len=0 TSval=3994262166 TSecr=1470887499"
"121","0.841586997","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2a04:4e42:8e::760","TCP","94","33252  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=3071835604 TSecr=0 WS=128"
"122","0.860201719","2600:1901:1:566::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  44162 [ACK] Seq=1 Ack=1289 Win=268800 Len=0 TSval=755892287 TSecr=217804329"
"123","0.877291531","2600:1901:1:566::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  44162 [ACK] Seq=1 Ack=1830 Win=268288 Len=0 TSval=755892288 TSecr=217804329"
"124","0.877299831","2600:1901:1:4be::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  47646 [ACK] Seq=213 Ack=2092 Win=268288 Len=0 TSval=666794065 TSecr=2986681701"
"125","0.877307630","2600:1901:1:4be::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.3","704","Application Data, Application Data"
"126","0.877315531","2600:1901:1:566::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.3","2134","Server Hello, Change Cipher Spec"
"127","0.877323131","2600:1901:1:566::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.3","1426","Application Data"
"128","0.877330831","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","94","443  >  58908 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=4196553361 TSecr=1470887544 WS=256"
"129","0.877469331","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:566::","TCP","86","44162  >  443 [ACK] Seq=1830 Ack=2049 Win=31872 Len=0 TSval=217804378 TSecr=755892290"
"130","0.877642133","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:566::","TCP","86","44162  >  443 [ACK] Seq=1830 Ack=3389 Win=31872 Len=0 TSval=217804378 TSecr=755892290"
"131","0.877727033","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TCP","86","58908  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=1470887583 TSecr=4196553361"
"132","0.878323537","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:566::","TLSv1.3","150","Change Cipher Spec, Application Data"
"133","0.879600446","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TCP","1374","58908  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=1288 TSval=1470887585 TSecr=4196553361 [TCP PDU reassembled in 134]"
"134","0.879613846","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TLSv1.3","856","Client Hello (SNI=pixel-static.spotify.com)"
"135","0.889915413","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.3","298","Server Hello, Change Cipher Spec, Application Data"
"136","0.889959414","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TCP","86","58894  >  443 [ACK] Seq=2052 Ack=213 Win=33024 Len=0 TSval=1470887595 TSecr=3994262220"
"137","0.890477117","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:7c5::","TLSv1.3","150","Change Cipher Spec, Application Data"
"138","0.919138204","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","2600:1901:1:4be::","TCP","86","47646  >  443 [ACK] Seq=2092 Ack=831 Win=32512 Len=0 TSval=2986681784 TSecr=666794065"
"139","0.922634227","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  58908 [ACK] Seq=1 Ack=1289 Win=268800 Len=0 TSval=4196553410 TSecr=1470887585"
"140","0.922641127","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  58894 [ACK] Seq=213 Ack=2116 Win=268032 Len=0 TSval=3994262249 TSecr=1470887596"
"141","0.922647027","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.3","704","Application Data, Application Data"
"142","0.922653527","2600:1901:1:7c5::","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","86","443  >  58908 [ACK] Seq=1 Ack=2059 Win=268032 Len=0 TSval=4196553413 TSecr=1470887585"
