"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=1 Ack=1 Win=235 Len=3624 TSval=1170475538 TSecr=2592457918 [TCP PDU reassembled in 6]"
"2","0.000008499","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=3625 Ack=1 Win=235 Len=3624 TSval=1170475539 TSecr=2592457918 [TCP PDU reassembled in 6]"
"3","0.000017500","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=7249 Ack=1 Win=235 Len=3624 TSval=1170475539 TSecr=2592457920 [TCP PDU reassembled in 6]"
"4","0.000078800","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=10873 Ack=1 Win=235 Len=3624 TSval=1170475540 TSecr=2592457920 [TCP PDU reassembled in 6]"
"5","0.000086200","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","1294","443  >  39326 [ACK] Seq=14497 Ack=1 Win=235 Len=1208 TSval=1170475541 TSecr=2592457920 [TCP PDU reassembled in 6]"
"6","0.005283735","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","2502","Application Data"
"7","0.005292535","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=18121 Ack=1 Win=235 Len=3624 TSval=1170475542 TSecr=2592457925 [TCP PDU reassembled in 11]"
"8","0.005299935","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=21745 Ack=1 Win=235 Len=3624 TSval=1170475543 TSecr=2592457925 [TCP PDU reassembled in 11]"
"9","0.005579037","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=25369 Ack=1 Win=235 Len=3624 TSval=1170475543 TSecr=2592457925 [TCP PDU reassembled in 11]"
"10","0.005586637","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=28993 Ack=1 Win=235 Len=3624 TSval=1170475544 TSecr=2592457925 [TCP PDU reassembled in 11]"
"11","0.005594338","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","3710","Application Data"
"12","0.005631538","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=36241 Ack=1 Win=235 Len=3624 TSval=1170475546 TSecr=2592457925 [TCP PDU reassembled in 15]"
"13","0.005638838","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=39865 Ack=1 Win=235 Len=3624 TSval=1170475546 TSecr=2592457925 [TCP PDU reassembled in 15]"
"14","0.005646838","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TCP","3710","443  >  39326 [PSH, ACK] Seq=43489 Ack=1 Win=235 Len=3624 TSval=1170475547 TSecr=2592457925 [TCP PDU reassembled in 15]"
"15","0.005721438","2600:9000:2600:5000:5:c033:1800:93a1","2a0d:6fc7:213:782a:dbbe:313a:2c09:b391","TLSv1.2","3710","Application Data"
