No.,Time,Source,Destination,Protocol,Length,Info,App,Log_Length
1,0.0,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
2,2.98e-05,18,7,3,86,60638  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=325857724 TSecr=331885186,Firefox,4.465908118654584
3,0.0001113,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
4,0.0001194,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
5,0.0001272,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
6,0.0001351,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
7,0.0001428,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
8,0.0001502,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
9,0.0001579,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
10,0.0001659,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
11,0.000244501,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
12,0.000252601,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
13,0.000260401,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
14,0.000268101,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
15,0.000275401,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
16,0.000283201,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
17,0.000290901,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
18,0.000298701,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
19,0.000338602,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
20,0.000346302,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
21,0.000353802,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
22,0.000361402,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
23,0.000369003,11,19,6,832,443  >  32808 Len=770,Firefox,6.725033642166842
24,0.00438543,18,12,6,95,32808  >  443 Len=33,Firefox,4.564348191467836
25,0.011796681,18,12,4,125,Application Data,Firefox,4.836281906951478
26,0.012229984,18,10,2,1399,"0-RTT, DCID=30b899eecda4eff3, SCID=50c3f8",Firefox,7.24422751560335
27,0.017898224,18,12,4,110,Application Data,Firefox,4.709530201312334
28,0.018119425,18,12,3,86,"41236  >  443 [FIN, ACK] Seq=64 Ack=1 Win=344 Len=0 TSval=1004708006 TSecr=1941482805",Firefox,4.465908118654584
29,0.035402145,6,19,3,98,443  >  60666 [ACK] Seq=1 Ack=1 Win=1053 Len=0 TSval=1994389379 TSecr=325857630 SLE=4294967233 SRE=0,Firefox,4.59511985013459
30,0.035728646,14,19,2,1399,"Initial, DCID=f0ca4d, SCID=fe55e712b160d0bd",Firefox,7.24422751560335
31,0.041715088,11,19,3,86,443  >  41236 [ACK] Seq=1 Ack=40 Win=1052 Len=0 TSval=1941496042 TSecr=1004708000,Firefox,4.465908118654584
32,0.050095746,14,19,2,1399,"Handshake, DCID=f0ca4d, SCID=fe55e712b160d0bd[Dissector bug, protocol QUIC: C:\\gitlab-builds\\builds\\MsQ3pox2\\1\\wireshark\\wireshark\\epan\\dissectors\\packet-quic.c:4565: failed assertion ""quic_packet""]",Firefox,7.24422751560335
33,0.050103746,14,19,2,677,"Protected Payload (KP0), DCID=f0ca4d",Firefox,6.519147287940395
34,0.052987966,14,19,2,90,"Protected Payload (KP0), DCID=f0ca4d",Firefox,4.51085950651685
35,0.053293868,11,19,3,86,443  >  41236 [ACK] Seq=1 Ack=64 Win=1052 Len=0 TSval=1941496054 TSecr=1004708006,Firefox,4.465908118654584
36,0.053301568,11,19,3,86,"443  >  41236 [FIN, ACK] Seq=1 Ack=64 Win=1052 Len=0 TSval=1941496054 TSecr=1004708006",Firefox,4.465908118654584
37,0.053369369,18,12,3,86,41236  >  443 [ACK] Seq=65 Ack=2 Win=344 Len=0 TSval=1004708041 TSecr=1941496054,Firefox,4.465908118654584
38,0.054836079,18,15,2,175,"Protected Payload (KP0), DCID=fe55e712b160d0bd",Firefox,5.170483995038151
39,0.055244081,18,15,2,133,"Protected Payload (KP0), DCID=fe55e712b160d0bd",Firefox,4.897839799950911
40,0.056980694,11,19,3,86,443  >  41236 [ACK] Seq=2 Ack=65 Win=1052 Len=0 TSval=1941496060 TSecr=1004708006,Firefox,4.465908118654584
41,0.083250275,9,19,2,1399,"Initial, DCID=50c3f8, SCID=f0b899eecda4eff3, PKN: 1, ACK, PADDING",Firefox,7.24422751560335
42,0.107131041,14,19,2,185,"Protected Payload (KP0), DCID=f0ca4d",Firefox,5.225746673713201
43,0.107497343,18,15,2,133,"Protected Payload (KP0), DCID=fe55e712b160d0bd",Firefox,4.897839799950911
44,0.11725511,9,19,2,1399,"Protected Payload (KP0), DCID=50c3f8",Firefox,7.24422751560335
45,0.11726251,9,19,2,677,"Protected Payload (KP0), DCID=50c3f8",Firefox,6.519147287940395
46,0.11726981,9,19,2,90,"Protected Payload (KP0), DCID=50c3f8",Firefox,4.51085950651685
47,0.122030643,18,10,2,175,"Protected Payload (KP0), DCID=f0b899eecda4eff3",Firefox,5.170483995038151
48,0.144193197,14,19,2,104,Protected Payload (KP0),Firefox,4.653960350157523
49,0.1447434,18,15,2,133,"Protected Payload (KP0), DCID=fe55e712b160d0bd",Firefox,4.897839799950911
50,0.163872633,9,19,2,185,"Protected Payload (KP0), DCID=50c3f8",Firefox,5.225746673713201
51,0.178233532,14,19,2,104,Protected Payload (KP0),Firefox,4.653960350157523
52,0.18232106,18,15,2,133,"Protected Payload (KP0), DCID=fe55e712b160d0bd",Firefox,4.897839799950911
53,0.184666077,18,10,2,94,"Protected Payload (KP0), DCID=f0b899eecda4eff3",Firefox,4.553876891600541
54,0.283037057,2,4,0,75,Standard query 0x0333 A www.gstatic.com,Firefox,4.330733340286331
55,0.283266359,2,4,0,75,Standard query 0x2414 AAAA www.gstatic.com,Firefox,4.330733340286331
56,0.286985584,3,3,0,91,Standard query response 0x0333 A www.gstatic.com A 142.250.75.99,Firefox,4.5217885770490405
57,0.286993684,3,3,0,103,Standard query response 0x2414 AAAA www.gstatic.com AAAA 2a00:1450:4028:80a::2003,Firefox,4.6443908991413725
58,0.291085912,18,12,6,375,51396  >  443 Len=313,Firefox,5.929589143389895
59,0.291873517,18,15,2,1399,"Initial, DCID=15a2d7ce72a324b8, SCID=fcc3e5, PKN: 0, CRYPTO",Firefox,7.24422751560335
60,0.329215276,18,12,6,889,32808  >  443 Len=827,Firefox,6.7912214627261855
61,0.332329897,11,19,6,1395,443  >  51396 Len=1333,Firefox,7.241366283322318
62,0.333129103,18,12,6,93,51396  >  443 Len=31,Firefox,4.543294782270004
63,0.337797536,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
64,0.337805935,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
65,0.337813636,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
66,0.337821436,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
67,0.337829136,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
68,0.337837436,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
69,0.337844636,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
70,0.337852536,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
71,0.337941836,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
72,0.337949637,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
73,0.337957237,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
74,0.337965537,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
75,0.337973237,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
76,0.337980637,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
77,0.339153345,18,12,6,95,51396  >  443 Len=33,Firefox,4.564348191467836
78,0.340327653,14,19,2,1399,"Initial, DCID=fcc3e5, SCID=f5a2d7ce72a324b8, PKN: 1, ACK, CRYPTO, PADDING",Firefox,7.24422751560335
79,0.340335753,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
80,0.340343754,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
81,0.340351353,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
82,0.340358654,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
83,0.340365453,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
84,0.342555569,18,12,6,95,51396  >  443 Len=33,Firefox,4.564348191467836
85,0.343706477,18,15,2,102,"Handshake, DCID=f5a2d7ce72a324b8, SCID=fcc3e5",Firefox,4.634728988229636
86,0.34430898,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
87,0.344317081,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
88,0.34432488,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
89,0.344332681,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
90,0.344887084,18,12,6,95,51396  >  443 Len=33,Firefox,4.564348191467836
91,0.357771374,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
92,0.357779674,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
93,0.357786874,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
94,0.357794274,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
95,0.35864388,18,12,6,95,51396  >  443 Len=33,Firefox,4.564348191467836
96,0.370907465,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
97,0.370913765,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
98,0.370919465,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
99,0.370925165,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
100,0.370930865,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
101,0.370936365,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
102,0.370941965,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
103,0.370947865,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
104,0.371006665,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
105,0.371012565,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
106,0.371018265,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
107,0.371024065,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
108,0.371029666,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
109,0.371035366,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
110,0.371040966,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
111,0.371046565,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
112,0.371085166,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
113,0.371090866,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
114,0.371096566,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
115,0.371102366,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
116,0.371108066,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
117,0.371113766,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
118,0.371119466,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
119,0.371125266,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
120,0.371141466,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
121,0.371147566,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
122,0.371153466,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
123,0.371159266,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
124,0.371165367,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
125,0.371171267,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
126,0.371177067,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
127,0.371182967,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
128,0.371220567,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
129,0.371226367,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
130,0.371232267,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
131,0.371238067,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
132,0.371243867,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
133,0.371249767,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
134,0.372246074,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
135,0.372712877,18,12,6,95,51396  >  443 Len=33,Firefox,4.564348191467836
136,0.389851796,14,19,2,1399,"Handshake, DCID=fcc3e5, SCID=f5a2d7ce72a324b8",Firefox,7.24422751560335
137,0.389859596,14,19,2,1399,"Handshake, DCID=fcc3e5, SCID=f5a2d7ce72a324b8",Firefox,7.24422751560335
138,0.3903965,18,15,2,104,"Handshake, DCID=f5a2d7ce72a324b8, SCID=fcc3e5",Firefox,4.653960350157523
139,0.395738736,18,12,6,894,32808  >  443 Len=832,Firefox,6.796823718274855
140,0.398274553,14,19,2,1399,"Handshake, DCID=fcc3e5, SCID=f5a2d7ce72a324b8",Firefox,7.24422751560335
141,0.398282654,14,19,2,412,"Protected Payload (KP0), DCID=fcc3e5",Firefox,6.023447592961032
142,0.398289654,11,19,6,1395,443  >  32808 Len=1333,Firefox,7.241366283322318
143,0.399821964,18,12,6,93,32808  >  443 Len=31,Firefox,4.543294782270004
144,0.404502597,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
145,0.404511297,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
146,0.404518897,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
147,0.404526897,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
148,0.404535297,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
149,0.404543197,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
150,0.404550997,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
151,0.404558597,11,19,6,1399,443  >  32808 Len=1337,Firefox,7.24422751560335
152,0.404634098,11,19,6,926,443  >  32808 Len=864,Firefox,6.831953565565855
153,0.404641698,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
154,0.404649298,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
155,0.404657198,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
156,0.404665498,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
157,0.404675098,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
158,0.404684498,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
159,0.404693398,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
160,0.404763298,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
161,0.404772699,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
162,0.404781299,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
163,0.407164915,18,15,2,105,"Handshake, DCID=f5a2d7ce72a324b8, SCID=fcc3e5",Firefox,4.663439094112067
164,0.408631626,18,12,6,95,51396  >  443 Len=33,Firefox,4.564348191467836
165,0.409187829,18,12,6,95,32808  >  443 Len=33,Firefox,4.564348191467836
166,0.412330751,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
167,0.412337051,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
168,0.412342951,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
169,0.412348651,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
170,0.412354451,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
171,0.412360351,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
172,0.412366151,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
173,0.412372051,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
174,0.412401752,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
175,0.412407652,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
176,0.412413652,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
177,0.412419552,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
178,0.412425352,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
179,0.412431252,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
180,0.412437152,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
181,0.412442952,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
182,0.412484452,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
183,0.412490352,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
184,0.412496252,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
185,0.412502152,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
186,0.413762161,18,12,6,95,51396  >  443 Len=33,Firefox,4.564348191467836
187,0.414926669,18,15,2,170,"Protected Payload (KP0), DCID=f5a2d7ce72a324b8",Firefox,5.141663556502659
188,0.41511557,18,15,2,129,"Protected Payload (KP0), DCID=f5a2d7ce72a324b8",Firefox,4.867534450455582
189,0.419360399,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
190,0.419367999,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
191,0.4193759,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
192,0.419384,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
193,0.419391099,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
194,0.4193981,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
195,0.4194054,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
196,0.4194128,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
197,0.4194826,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
198,0.4194898,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
199,0.4194977,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
200,0.4195053,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
201,0.419512501,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
202,0.4195196,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
203,0.4195276,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
204,0.419535401,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
205,0.425888545,18,15,2,133,"Protected Payload (KP0), DCID=f5a2d7ce72a324b8",Firefox,4.897839799950911
206,0.428645964,18,12,6,95,51396  >  443 Len=33,Firefox,4.564348191467836
207,0.437573926,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
208,0.437580726,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
209,0.437586725,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
210,0.437592926,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
211,0.437598826,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
212,0.437604726,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
213,0.437610626,11,19,6,1399,443  >  51396 Len=1337,Firefox,7.24422751560335
