No.,Time,Source,Destination,Protocol,Length,Info,App,Log_Length
1,0.0,35,46,3,78,"Neighbor Advertisement 2a0d:6fc7:213:782a::a3 (rtr, sol)",YouTube,4.3694478524670215
2,9.7799e-05,34,45,3,78,Neighbor Advertisement 2a0d:6fc7:213:782a:39d4:d935:834:ddaa (sol),YouTube,4.3694478524670215
3,0.173667277,34,30,7,1374,38082  >  443 [ACK] Seq=1 Ack=1 Win=3576 Len=1288 TSval=1036660598 TSecr=598789142 [TCP PDU reassembled in 6],YouTube,7.226209010100671
4,0.173685777,34,30,7,1374,"38082  >  443 [PSH, ACK] Seq=1289 Ack=1 Win=3576 Len=1288 TSval=1036660598 TSecr=598789142 [TCP PDU reassembled in 6]",YouTube,7.226209010100671
5,0.426645453,34,30,7,1374,38082  >  443 [ACK] Seq=2577 Ack=1 Win=3576 Len=1288 TSval=1036660598 TSecr=598789142 [TCP PDU reassembled in 6],YouTube,7.226209010100671
6,0.426665953,34,30,8,913,Application Data,YouTube,6.81783057145415
7,0.429702808,34,30,7,1374,38082  >  443 [ACK] Seq=4692 Ack=1 Win=3576 Len=1288 TSval=1036660854 TSecr=598789142 [TCP PDU reassembled in 9],YouTube,7.226209010100671
8,0.429718807,34,30,7,1374,"38082  >  443 [PSH, ACK] Seq=5980 Ack=1 Win=3576 Len=1288 TSval=1036660854 TSecr=598789142 [TCP PDU reassembled in 9]",YouTube,7.226209010100671
9,0.429920104,34,30,8,879,Application Data,YouTube,6.779921907472252
10,0.43480443,34,24,8,255,Application Data,YouTube,5.545177444479562
11,0.513687438,27,37,7,86,443  >  38082 [ACK] Seq=1 Ack=2577 Win=733 Len=0 TSval=598790927 TSecr=1036660598,YouTube,4.465908118654584
12,0.513696538,27,37,7,98,[TCP Dup ACK 11#1] 443  >  38082 [ACK] Seq=1 Ack=2577 Win=733 Len=0 TSval=598790927 TSecr=1036660598 SLE=3865 SRE=4692,YouTube,4.59511985013459
13,0.513704438,27,37,7,86,443  >  38082 [ACK] Seq=1 Ack=4692 Win=725 Len=0 TSval=598790927 TSecr=1036660598,YouTube,4.465908118654584
14,0.513711738,27,37,7,86,443  >  38082 [ACK] Seq=1 Ack=8061 Win=712 Len=0 TSval=598790927 TSecr=1036660854,YouTube,4.465908118654584
15,0.513720138,21,37,7,86,443  >  44958 [ACK] Seq=1 Ack=170 Win=1045 Len=0 TSval=3733132363 TSecr=2802020554,YouTube,4.465908118654584
16,0.513728138,21,37,8,190,Application Data,YouTube,5.25227342804663
17,0.513736038,21,37,8,1294,Application Data,YouTube,7.166265974133638
18,0.513743837,21,37,8,1294,Application Data,YouTube,7.166265974133638
19,0.513953234,34,24,7,86,44958  >  443 [ACK] Seq=170 Ack=1313 Win=1886 Len=0 TSval=2802020633 TSecr=3733132364,YouTube,4.465908118654584
20,0.514320529,21,37,8,2373,"Application Data, Application Data",YouTube,7.772331575169613
21,0.514348829,34,24,7,86,44958  >  443 [ACK] Seq=170 Ack=4808 Win=1903 Len=0 TSval=2802020633 TSecr=3733132366,YouTube,4.465908118654584
22,0.821190991,34,33,7,86,45704  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=1712542679 TSecr=1261072371,YouTube,4.465908118654584
23,0.821627784,27,37,8,156,Application Data,YouTube,5.056245805348308
24,0.821635284,21,37,8,125,Application Data,YouTube,4.836281906951478
25,0.821642584,27,37,8,117,Application Data,YouTube,4.770684624465664
26,0.821650084,27,37,8,125,Application Data,YouTube,4.836281906951478
27,0.821656584,27,37,8,156,Application Data,YouTube,5.056245805348308
28,0.821663884,27,37,8,117,Application Data,YouTube,4.770684624465664
