No.,Time,Source,Destination,Protocol,Length,Info,App,Log_Length
1,0.0,31,20,8,86,33260  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=326170406 TSecr=1685327060,Zoom,4.465908118654584
2,0.000152396,31,20,8,86,33260  >  443 [ACK] Seq=1 Ack=3625 Win=249 Len=0 TSval=326170406 TSecr=1685327065,Zoom,4.465908118654584
3,0.000215495,31,20,8,86,33260  >  443 [ACK] Seq=1 Ack=6041 Win=249 Len=0 TSval=326170406 TSecr=1685327079,Zoom,4.465908118654584
4,0.001240171,31,20,9,121,Application Data,Zoom,4.804021044733257
5,0.001450666,31,20,9,125,Application Data,Zoom,4.836281906951478
6,0.049335555,18,33,8,86,443  >  33260 [ACK] Seq=7203 Ack=36 Win=1018 Len=0 TSval=1685327198 TSecr=326170407,Zoom,4.465908118654584
7,0.049354954,18,33,8,86,443  >  33260 [ACK] Seq=7203 Ack=75 Win=1018 Len=0 TSval=1685327198 TSecr=326170408,Zoom,4.465908118654584
8,0.86929582,31,19,9,170,Application Data,Zoom,5.141663556502659
9,0.869889706,31,19,8,1374,49120  >  443 [ACK] Seq=85 Ack=1 Win=249 Len=1288 TSval=1723592285 TSecr=3919664993 [TCP PDU reassembled in 14],Zoom,7.226209010100671
10,0.869905406,31,19,8,1374,"49120  >  443 [PSH, ACK] Seq=1373 Ack=1 Win=249 Len=1288 TSval=1723592285 TSecr=3919664993 [TCP PDU reassembled in 14]",Zoom,7.226209010100671
11,0.870124001,31,19,8,1374,49120  >  443 [ACK] Seq=2661 Ack=1 Win=249 Len=1288 TSval=1723592285 TSecr=3919664993 [TCP PDU reassembled in 14],Zoom,7.226209010100671
12,0.870135901,31,19,8,1374,"49120  >  443 [PSH, ACK] Seq=3949 Ack=1 Win=249 Len=1288 TSval=1723592285 TSecr=3919664993 [TCP PDU reassembled in 14]",Zoom,7.226209010100671
13,0.870412294,31,19,8,1374,49120  >  443 [ACK] Seq=5237 Ack=1 Win=249 Len=1288 TSval=1723592285 TSecr=3919664993 [TCP PDU reassembled in 14],Zoom,7.226209010100671
14,0.870423994,31,19,9,985,Application Data,Zoom,6.893656354602635
