No.,Time,Source,Destination,Protocol,Length,Info,App,Log_Length
1,0.0,24,21,0,86,"60932  >  443 [FIN, ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=1616126345 TSecr=2541239893",YouTube,4.465908118654584
2,0.000318702,24,16,0,86,"34820  >  443 [FIN, ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=1087228444 TSecr=4060519033",YouTube,4.465908118654584
3,0.055481676,21,24,0,86,"443  >  60932 [FIN, ACK] Seq=1 Ack=2 Win=1048 Len=0 TSval=2541265805 TSecr=1616126345",YouTube,4.465908118654584
4,0.055489576,16,24,0,86,"443  >  34820 [FIN, ACK] Seq=1 Ack=2 Win=1049 Len=0 TSval=4060544961 TSecr=1087228444",YouTube,4.465908118654584
5,0.055622077,24,21,0,86,60932  >  443 [ACK] Seq=2 Ack=2 Win=249 Len=0 TSval=1616126401 TSecr=2541265805,YouTube,4.465908118654584
6,0.055795078,24,16,0,86,34820  >  443 [ACK] Seq=2 Ack=2 Win=249 Len=0 TSval=1087228500 TSecr=4060544961,YouTube,4.465908118654584
7,0.0591406,24,3,0,94,42458  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=578073648 TSecr=0 WS=128,YouTube,4.553876891600541
8,0.098688368,3,24,0,94,"443  >  42458 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=400120101 TSecr=578073648 WS=256",YouTube,4.553876891600541
9,0.098829169,24,3,0,86,42458  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=578073688 TSecr=400120101,YouTube,4.465908118654584
10,0.099903377,24,3,0,1374,42458  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=1288 TSval=578073689 TSecr=400120101 [TCP PDU reassembled in 11],YouTube,7.226209010100671
11,0.099917977,24,3,2,639,Client Hello (SNI=rr3---sn-nhpax-ua8k.googlevideo.com),YouTube,6.461468176353717
12,0.138978541,3,24,0,86,443  >  42458 [ACK] Seq=1 Ack=1842 Win=268288 Len=0 TSval=400120141 TSecr=578073689,YouTube,4.465908118654584
