No.,Time,Source,Destination,Protocol,Length,Info,App,Log_Length
1,0.0,3,1,0,94,40360  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=2304103280 TSecr=0 WS=128,Google,4.553876891600541
2,0.030041491,3,1,0,94,40376  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=2304103310 TSecr=0 WS=128,Google,4.553876891600541
3,0.046232087,1,3,0,94,"443  >  40360 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=1748405588 TSecr=2304103280 WS=256",Google,4.553876891600541
4,0.046270287,3,1,0,74,40360  >  443 [RST] Seq=1 Win=0 Len=0,Google,4.31748811353631
5,0.075652479,1,3,0,94,"443  >  40376 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=1750267703 TSecr=2304103310 WS=256",Google,4.553876891600541
6,0.075726679,3,1,0,86,40376  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=2304103356 TSecr=1750267703,Google,4.465908118654584
7,0.078653078,3,1,0,1374,40376  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=1288 TSval=2304103359 TSecr=1750267703 [TCP PDU reassembled in 8],Google,7.226209010100671
8,0.078666278,3,1,1,633,Client Hello (SNI=clientservices.googleapis.com),Google,6.452048954437226
9,0.124246265,1,3,0,98,[TCP Dup ACK 5#1] 443  >  40376 [ACK] Seq=1 Ack=1 Win=270080 Len=0 TSval=1750267752 TSecr=2304103356 SLE=1289 SRE=1836,Google,4.59511985013459
10,0.124252065,1,3,0,86,443  >  40376 [ACK] Seq=1 Ack=1836 Win=268288 Len=0 TSval=1750267752 TSecr=2304103359,Google,4.465908118654584
11,0.18067945,1,3,1,2502,"Server Hello, Change Cipher Spec",Google,7.825245291431774
