No.,Time,Source,Destination,Protocol,Length,Info,App,Log_Length
1,0.0,15,14,0,74,42734  >  443 [RST] Seq=1 Win=0 Len=0,Spotify,4.31748811353631
2,5.94e-05,15,15,0,74,38602  >  443 [RST] Seq=1 Win=0 Len=0,Spotify,4.31748811353631
3,0.000130301,13,17,0,86,"443  >  38602 [FIN, ACK] Seq=1 Ack=1 Win=289 Len=0 TSval=1311438624 TSecr=2662078131",Spotify,4.465908118654584
4,0.000139001,6,17,0,86,"443  >  47534 [FIN, ACK] Seq=1 Ack=1 Win=1048 Len=0 TSval=365788342 TSecr=217803383",Spotify,4.465908118654584
5,0.000153201,15,15,0,74,38602  >  443 [RST] Seq=1 Win=0 Len=0,Spotify,4.31748811353631
6,0.000211701,15,7,0,86,47534  >  443 [ACK] Seq=1 Ack=2 Win=249 Len=0 TSval=217803501 TSecr=365788342,Spotify,4.465908118654584
7,0.001788211,8,17,0,86,443  >  40458 [ACK] Seq=1 Ack=1 Win=1044 Len=0 TSval=3849413017 TSecr=1470841186,Spotify,4.465908118654584
8,0.007595449,2,17,0,86,443  >  55106 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1503715945 TSecr=1084304700,Spotify,4.465908118654584
9,0.007601649,2,17,1,373,Application Data,Spotify,5.924255797414531
10,0.029900495,7,17,1,172,Application Data,Spotify,5.153291594497778
11,0.029987695,15,8,0,86,43072  >  443 [ACK] Seq=1 Ack=87 Win=249 Len=0 TSval=1476450022 TSecr=1272052602,Spotify,4.465908118654584
12,0.031454505,15,8,1,125,Application Data,Spotify,4.836281906951478
13,0.043349983,15,5,1,130,Application Data,Spotify,4.875197323201151
14,0.052494343,15,9,1,160,Application Data,Spotify,5.081404364984463
15,0.052877345,15,9,1,125,Application Data,Spotify,4.836281906951478
16,0.05510146,15,3,0,86,55106  >  443 [ACK] Seq=1 Ack=288 Win=255 Len=0 TSval=1084304787 TSecr=1503715945,Spotify,4.465908118654584
17,0.079130217,15,12,0,86,33138  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=1304185966 TSecr=1217724019,Spotify,4.465908118654584
18,0.079473119,15,10,0,86,40392  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=2654656634 TSecr=3019021131,Spotify,4.465908118654584
19,0.084544252,7,17,0,86,443  >  43072 [ACK] Seq=87 Ack=40 Win=599 Len=0 TSval=1272052661 TSecr=1476450024,Spotify,4.465908118654584
20,0.084552352,4,17,0,86,443  >  58332 [ACK] Seq=1 Ack=45 Win=1041 Len=0 TSval=822782475 TSecr=3104964958,Spotify,4.465908118654584
21,0.118509974,8,17,0,86,443  >  40398 [ACK] Seq=1 Ack=75 Win=1046 Len=0 TSval=2245068474 TSecr=1470886758,Spotify,4.465908118654584
22,0.118521274,8,17,0,86,443  >  40398 [ACK] Seq=1 Ack=114 Win=1046 Len=0 TSval=2245068474 TSecr=1470886758,Spotify,4.465908118654584
23,0.118529374,8,17,1,125,Application Data,Spotify,4.836281906951478
24,0.121631094,10,17,0,86,[TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1046 Len=0 TSval=1217769201 TSecr=1304095422,Spotify,4.465908118654584
25,0.126669727,9,17,0,86,[TCP ACKed unseen segment] 443  >  40392 [ACK] Seq=1 Ack=2 Win=1043 Len=0 TSval=3019066317 TSecr=2654565489,Spotify,4.465908118654584
26,0.131856161,4,17,1,126,Application Data,Spotify,4.844187086458591
27,0.131862861,4,17,0,86,"443  >  58332 [FIN, ACK] Seq=41 Ack=45 Win=1041 Len=0 TSval=822782528 TSecr=3104964958",Spotify,4.465908118654584
28,0.131921661,15,5,0,86,58332  >  443 [ACK] Seq=45 Ack=41 Win=249 Len=0 TSval=3104965046 TSecr=822782528,Spotify,4.465908118654584
29,0.144980447,14,17,1,2662,"Application Data, Application Data",Spotify,7.887208585813932
30,0.145052147,14,17,1,1886,"Application Data, Application Data",Spotify,7.54274354536855
31,0.145058047,14,17,1,2662,"Application Data, Application Data",Spotify,7.887208585813932
32,0.145128948,15,16,0,86,54754  >  443 [ACK] Seq=1 Ack=2577 Win=249 Len=0 TSval=2876165529 TSecr=2027886364,Spotify,4.465908118654584
33,0.145323749,15,16,0,86,54754  >  443 [ACK] Seq=1 Ack=4377 Win=249 Len=0 TSval=2876165529 TSecr=2027886367,Spotify,4.465908118654584
34,0.14540585,15,16,0,86,54754  >  443 [ACK] Seq=1 Ack=6953 Win=249 Len=0 TSval=2876165529 TSecr=2027886370,Spotify,4.465908118654584
35,0.14552855,14,17,1,511,Application Data,Spotify,6.238324625039508
