No.,Time,Source,Destination,Protocol,Length,Info,App,Log_Length
1,0.0,2,7,1,3710,"443  >  39326 [PSH, ACK] Seq=1 Ack=1 Win=235 Len=3624 TSval=1170475538 TSecr=2592457918 [TCP PDU reassembled in 6]",Zoom,8.219056661060597
2,8.499e-06,2,7,1,3710,"443  >  39326 [PSH, ACK] Seq=3625 Ack=1 Win=235 Len=3624 TSval=1170475539 TSecr=2592457918 [TCP PDU reassembled in 6]",Zoom,8.219056661060597
3,1.75e-05,2,7,1,3710,"443  >  39326 [PSH, ACK] Seq=7249 Ack=1 Win=235 Len=3624 TSval=1170475539 TSecr=2592457920 [TCP PDU reassembled in 6]",Zoom,8.219056661060597
4,7.88e-05,2,7,1,3710,"443  >  39326 [PSH, ACK] Seq=10873 Ack=1 Win=235 Len=3624 TSval=1170475540 TSecr=2592457920 [TCP PDU reassembled in 6]",Zoom,8.219056661060597
5,8.62e-05,2,7,1,1294,443  >  39326 [ACK] Seq=14497 Ack=1 Win=235 Len=1208 TSval=1170475541 TSecr=2592457920 [TCP PDU reassembled in 6],Zoom,7.166265974133638
6,0.005283735,2,7,2,2502,Application Data,Zoom,7.825245291431774
7,0.005292535,2,7,1,3710,"443  >  39326 [PSH, ACK] Seq=18121 Ack=1 Win=235 Len=3624 TSval=1170475542 TSecr=2592457925 [TCP PDU reassembled in 11]",Zoom,8.219056661060597
8,0.005299935,2,7,1,3710,"443  >  39326 [PSH, ACK] Seq=21745 Ack=1 Win=235 Len=3624 TSval=1170475543 TSecr=2592457925 [TCP PDU reassembled in 11]",Zoom,8.219056661060597
9,0.005579037,2,7,1,3710,"443  >  39326 [PSH, ACK] Seq=25369 Ack=1 Win=235 Len=3624 TSval=1170475543 TSecr=2592457925 [TCP PDU reassembled in 11]",Zoom,8.219056661060597
10,0.005586637,2,7,1,3710,"443  >  39326 [PSH, ACK] Seq=28993 Ack=1 Win=235 Len=3624 TSval=1170475544 TSecr=2592457925 [TCP PDU reassembled in 11]",Zoom,8.219056661060597
