"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.56.210","192.168.56.255","UDP","86","57621  >  57621 Len=44"
"2","0.394600487","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a0d:6fc7:505:6e3::be","DNS","94","Standard query 0x2fdd AAAA www.google.com"
"3","0.464302963","2a0d:6fc7:505:6e3::be","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","DNS","122","Standard query response 0x2fdd AAAA www.google.com AAAA 2a00:1450:4028:80a::2004"
"4","0.464631796","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TCP","94","59984  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=482064606 TSecr=0 WS=128"
"5","0.464814715","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TCP","94","59992  >  443 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=482064606 TSecr=0 WS=128"
"6","0.500256244","2a00:1450:4028:80a::2004","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","94","443  >  59984 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=2600508979 TSecr=482064606 WS=256"
"7","0.500256490","2a00:1450:4028:80a::2004","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","94","443  >  59992 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=473583790 TSecr=482064606 WS=256"
"8","0.500318694","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TCP","86","59984  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=482064642 TSecr=2600508979"
"9","0.500473134","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TCP","86","59992  >  443 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=482064642 TSecr=473583790"
"10","0.501919682","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TLSv1.3","603","Client Hello (SNI=www.google.com)"
"11","0.503658569","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TLSv1.3","603","Client Hello (SNI=www.google.com)"
"12","0.546452047","2a00:1450:4028:80a::2004","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  59992 [ACK] Seq=1 Ack=518 Win=269568 Len=0 TSval=473583837 TSecr=482064645"
"13","0.546452282","2a00:1450:4028:80a::2004","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  59984 [ACK] Seq=1 Ack=518 Win=269568 Len=0 TSval=2600509026 TSecr=482064643"
"14","0.618913077","2a00:1450:4028:80a::2004","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"15","0.618989842","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TCP","86","59984  >  443 [ACK] Seq=518 Ack=2417 Win=31872 Len=0 TSval=482064760 TSecr=2600509078"
"16","0.663594428","2a00:1450:4028:80a::2004","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.3","1769","Application Data"
"17","0.663650417","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TCP","86","59984  >  443 [ACK] Seq=518 Ack=4100 Win=31872 Len=0 TSval=482064805 TSecr=2600509078"
"18","0.666278875","2a00:1450:4028:80a::2004","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"19","0.666278959","2a00:1450:4028:80a::2004","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.3","1768","Application Data"
"20","0.666318122","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TCP","86","59992  >  443 [ACK] Seq=518 Ack=2417 Win=31872 Len=0 TSval=482064808 TSecr=473583890"
"21","0.666407228","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TCP","86","59992  >  443 [ACK] Seq=518 Ack=4099 Win=31872 Len=0 TSval=482064808 TSecr=473583890"
"22","0.671013356","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a0d:6fc7:505:6e3::be","DNS","90","Standard query 0xbf4f AAAA o.pki.goog"
"23","0.675967535","2a0d:6fc7:505:6e3::be","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","DNS","153","Standard query response 0xbf4f AAAA o.pki.goog CNAME pki-goog.l.google.com AAAA 2a00:1450:4028:804::2003"
"24","0.676190129","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:804::2003","TCP","94","38206  >  80 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=3994641956 TSecr=0 WS=128"
"25","0.676379851","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:804::2003","TCP","94","38212  >  80 [SYN] Seq=0 Win=33120 Len=0 MSS=1440 SACK_PERM TSval=3994641956 TSecr=0 WS=128"
"26","0.701548730","2a00:1450:4028:80a::2004","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","560","[TCP Spurious Retransmission] 443  >  59992 [PSH, ACK] Seq=3625 Ack=518 Win=269568 Len=474 TSval=473583989 TSecr=482064645 [TCP segment of a reassembled PDU]"
"27","0.701584358","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::2004","TCP","98","[TCP Dup ACK 21#1] 59992  >  443 [ACK] Seq=518 Ack=4099 Win=31872 Len=0 TSval=482064843 TSecr=473583989 SLE=3625 SRE=4099"
"28","0.726388088","2a00:1450:4028:804::2003","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","94","80  >  38206 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=809732434 TSecr=3994641956 WS=256"
"29","0.726388497","2a00:1450:4028:804::2003","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","94","80  >  38212 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM TSval=4228419494 TSecr=3994641956 WS=256"
"30","0.726443359","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:804::2003","TCP","86","38206  >  80 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=3994642006 TSecr=809732434"
"31","0.726536888","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:804::2003","TCP","86","38212  >  80 [ACK] Seq=1 Ack=1 Win=33152 Len=0 TSval=3994642006 TSecr=4228419494"
