"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"2","0.000014800","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"3","0.000021200","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"4","0.000028700","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"5","0.000035700","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"6","0.000079900","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"7","0.000087200","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"8","0.000094600","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"9","0.000102000","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"10","0.000123101","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"11","0.020491641","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","1294","Application Data"
"12","0.054931780","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"13","0.054939180","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"14","0.054946280","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"15","0.055452683","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"16","0.055460483","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"17","0.058704706","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"18","0.058719406","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"19","0.061465425","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"20","0.068541974","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"21","0.068549974","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"22","0.068557374","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"23","0.071460094","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"24","0.079027446","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
"25","0.079035246","2a00:1450:4028:805::2005","2a0d:6fc7:213:782a:39d4:d935:834:ddaa","TLSv1.2","2502","Application Data, Application Data"
