"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200e","TCP","1374","41008  >  443 [ACK] Seq=1 Ack=1 Win=4361 Len=1288 TSval=871018746 TSecr=1383267847 [TCP segment of a reassembled PDU]"
"2","0.000008602","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200e","TCP","1374","41008  >  443 [PSH, ACK] Seq=1289 Ack=1 Win=4361 Len=1288 TSval=871018746 TSecr=1383267847 [TCP segment of a reassembled PDU]"
"3","0.000236913","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200e","TLSv1.2","475","Application Data"
"4","0.000423212","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200e","TLSv1.2","125","Application Data"
"5","0.000499606","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200e","TLSv1.2","343","Application Data"
"6","0.056896415","2a00:1450:4028:806::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  41008 [ACK] Seq=1 Ack=2577 Win=842 Len=0 TSval=1383281729 TSecr=871018746"
"7","0.057968967","2a00:1450:4028:806::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  41008 [ACK] Seq=1 Ack=2966 Win=841 Len=0 TSval=1383281729 TSecr=871018746"
"8","0.057969120","2a00:1450:4028:806::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  41008 [ACK] Seq=1 Ack=3005 Win=841 Len=0 TSval=1383281729 TSecr=871018747"
"9","0.059170307","2a00:1450:4028:806::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  41008 [ACK] Seq=1 Ack=3262 Win=840 Len=0 TSval=1383281729 TSecr=871018747"
"10","0.059170541","2a00:1450:4028:806::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.2","125","Application Data"
"11","0.106631915","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200e","TCP","86","41008  >  443 [ACK] Seq=3262 Ack=40 Win=4361 Len=0 TSval=871018853 TSecr=1383281730"
"12","0.131651413","2a00:1450:4028:806::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.2","156","Application Data"
"13","0.131651796","2a00:1450:4028:806::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.2","117","Application Data"
"14","0.131651820","2a00:1450:4028:806::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TLSv1.2","125","Application Data"
"15","0.131684033","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200e","TCP","86","41008  >  443 [ACK] Seq=3262 Ack=110 Win=4361 Len=0 TSval=871018878 TSecr=1383281798"
"16","0.131766758","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200e","TCP","86","41008  >  443 [ACK] Seq=3262 Ack=141 Win=4361 Len=0 TSval=871018878 TSecr=1383281799"
"17","0.131794559","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200e","TCP","86","41008  >  443 [ACK] Seq=3262 Ack=180 Win=4361 Len=0 TSval=871018878 TSecr=1383281799"
"18","0.136213976","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200e","TLSv1.2","125","Application Data"
"19","0.180367699","2a00:1450:4028:806::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  41008 [ACK] Seq=180 Ack=3301 Win=851 Len=0 TSval=1383281853 TSecr=871018883"
"20","1.392029139","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:806::200a","TCP","86","58664  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=1652580395 TSecr=4182098531"
"21","1.428683359","2a00:1450:4028:806::200a","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","[TCP ACKed unseen segment] 443  >  58664 [ACK] Seq=1 Ack=2 Win=1050 Len=0 TSval=4182143783 TSecr=1652535142"
"22","1.967916262","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::200e","TCP","1374","52662  >  443 [ACK] Seq=1 Ack=1 Win=249 Len=1288 TSval=4025686289 TSecr=3292844677 [TCP segment of a reassembled PDU]"
"23","1.967922560","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::200e","TLSv1.2","932","Application Data"
"24","1.968201974","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::200e","TLSv1.2","125","Application Data"
"25","1.968284002","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","2a00:1450:4028:80a::200e","TLSv1.2","784","Application Data"
"26","2.013372476","2a00:1450:4028:80a::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","98","443  >  52662 [ACK] Seq=1 Ack=1 Win=1014 Len=0 TSval=3292875218 TSecr=4025655755 SLE=1289 SRE=2135"
"27","2.013372871","2a00:1450:4028:80a::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","98","[TCP Dup ACK 26#1] 443  >  52662 [ACK] Seq=1 Ack=1 Win=1014 Len=0 TSval=3292875218 TSecr=4025655755 SLE=1289 SRE=2174"
"28","2.013372898","2a00:1450:4028:80a::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","98","[TCP Dup ACK 26#2] 443  >  52662 [ACK] Seq=1 Ack=1 Win=1014 Len=0 TSval=3292875218 TSecr=4025655755 SLE=1289 SRE=2872"
"29","2.013372927","2a00:1450:4028:80a::200e","2a0d:6fc7:505:6e3:b391:e2e3:ca0d:6126","TCP","86","443  >  52662 [ACK] Seq=1 Ack=2872 Win=1003 Len=0 TSval=3292875218 TSecr=4025686289"
